Product ID,Tên sản phẩm,Price,Old Price,Quantity Sale,Discount,Thời gian sử dụng pin (tháng),Đối tượng sử dụng:,Đường kính mặt (mm),Độ dày mặt (mm),Nguồn năng lượng:,Mức kháng nước (ATM),Chất liệu mặt kính:,Thương hiệu của:,Hãng:,Review Count,Rating,Bình luận
242206,MVW MS06001,990000.0,1990000.0,184.0,0.5,24.0,Nam,40.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,20,4.6,"Đồng hồ đúng giao đúng mẫu, đúng màu ,đẹp ,từ bữa nhận hàng đeo đến nay thấy ok ,còn ko biết đeo lâu dài như thế nào ...cho shop 5 sao"
269354,ELIO EC00602,690000.0,1090000.0,32.0,0.36,24.0,Nữ,33.0,7.7,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,15,4.1,Rất ưng ý
324772,SMILE KID SL414012SK,290000.0,390000.0,1100.0,0.25,18.0,Trẻ em,38.0,14.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,0,0.0,N/A
208661,CASIO MTP1375L7AVDF,1702000.0,2270000.0,219.0,0.25,24.0,Nam,42.0,,Pin,5.0,Kính khoáng Mineral,Nhật Bản,CASIO,14,4.8,Mẫu mã đẹp nhìn chất lượng rất tốt trong tầm giá
228864,CASIO AE1000W1BVDF,852000.0,1136000.0,221.0,0.25,120.0,Nam,43.5,13.5,Pin,10.0,Nhựa Resin,Nhật Bản,CASIO,11,4.3,máy ok. cái dây nó có khớp đeo thật là đau tay
329441,ELIO Elegant Lady ES16601,890000.0,1390000.0,159.0,0.35,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,0,0.0,N/A
318566,MVW Hồn Việt ML08601HV,1290000.0,2490000.0,164.0,0.48,36.0,Nam,43.0,12.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,6,4.5,Sao không có kim dạ quang vậy bạn
293751,EYKI EYS00703,411000.0,0.0,56.0,,24.0,Nữ,28.5,7.9,Pin,3.0,Kính khoáng Mineral,Trung Quốc,EYKI,0,0.0,N/A
199488,CASIO AE1000W2AVDF,852000.0,1136000.0,195.0,0.25,120.0,Nam,43.0,13.7,Pin,10.0,Nhựa,Nhật Bản,CASIO,28,4.5,Hài lòng
242206,MVW MS06001,990000.0,1990000.0,184.0,0.5,24.0,Nam,40.0,9.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,20,4.6,"Đồng hồ đúng giao đúng mẫu, đúng màu ,đẹp ,từ bữa nhận hàng đeo đến nay thấy ok ,còn ko biết đeo lâu dài như thế nào ...cho shop 5 sao"
269354,ELIO EC00602,690000.0,1090000.0,32.0,0.36,24.0,Nữ,33.0,7.7,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,15,4.1,Rất ưng ý
247085,MVW MS06803,990000.0,1990000.0,82.0,0.5,24.0,Nam,39.5,8.0,Pin,5.0,Kính Sapphire,Việt Nam,MVW,9,4.6,"Thấy ổn, mắt dc phép tháo nhiều nên phì hợp tay nhỏ như mình, e gái tư vấn dễ thương. Hy vọng bền."
231848,ELIO Nắng Xuân EL02502,490000.0,890000.0,20.0,0.44,36.0,Nữ,32.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,18,4.4,"sản phẩm rất ưng ý , chất lượng ok"
199340,CASIO LTP1169N7ARDF,1216000.0,1622000.0,115.0,0.25,24.0,Nữ,22.0,7.4,Pin,3.0,Kính khoáng Mineral,Nhật Bản,CASIO,7,4.4,Đẹp
331114,Q&Q F05A001PY,690000.0,990000.0,10.0,0.3,24.0,Nữ,20.0,7.3,Pin,3.0,Kính khoáng Mineral,Nhật Bản,Q&Q,0,0.0,N/A
286424,CASIO LTPV007L1BUDF,621000.0,829000.0,133.0,0.25,36.0,Nữ,22.0,7.5,Pin,1.0,Kính khoáng Mineral,Nhật Bản,CASIO,14,5.0,Hài lòng ạ.với mức giá này thì dho rất ok
296708,SMILE KID SL12203,190000.0,290000.0,163.0,0.34,12.0,Trẻ em,29.0,9.8,Pin,3.0,Nhựa,Việt Nam,SMILE KID,8,4.5,Cách phúc vụ rất nhiệt tình
278426,ELIO EL10301,690000.0,1090000.0,67.0,0.36,24.0,Nữ,28.0,9.1,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,6,4.5,Sp tốt. Đeo lên tay màu rất đẹp. Phù hợp cho con gái có tay nhỏ
328202,CASIO W800H2AVDF,703000.0,938000.0,152.0,0.25,120.0,Nam,36.8,13.4,Pin,10.0,Nhựa,Nhật Bản,CASIO,0,0.0,N/A
245135,Q&Q S284J301Y,411000.0,0.0,23.0,,36.0,Nam,40.0,10.0,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Q&Q,14,4.9,"Mới mua được một ngày nên chưa biết được là chất lượng như thế nào, nhưng với giá này thì ngon cho 1 chiếc đồng hồ đẹp, thiết kế đơn giản, sang trọng. Bộ máy Nhật thì chắc cũng ổn"
289436,MVW MS08502,1290000.0,2400000.0,179.0,0.46,18.0,Nam,43.0,9.1,Pin,5.0,Kính khoáng Mineral,Việt Nam,MVW,9,5.0,Đẹp nên mua
200848,CITIZEN AU106051E,3111000.0,4148000.0,24.0,0.25,0.0,Nam,40.0,8.0,Ánh sáng,3.0,Kính khoáng Mineral,Nhật Bản,CITIZEN,16,4.4,Rất tốt so với tầm giá dc khuyến mại
232748,SMILE KID SL05801,290000.0,350000.0,352.0,0.17,18.0,Trẻ em,40.0,16.0,Pin,5.0,Nhựa Resin,Việt Nam,SMILE KID,13,4.6,Xinh lắm . Nhìn rất chắc chắn. Mình tặng quà nên quên chụp lại. Sẽ tiếp tục ủng hộ ĐMX
331092,ELIO Starlight EL15303,890000.0,1390000.0,3.0,0.35,24.0,Nữ,23.0,8.2,Pin,3.0,Kính khoáng Mineral,Việt Nam,ELIO,0,0.0,N/A
293754,EYKI EYS00803,411000.0,0.0,10.0,,24.0,Nữ,30.0,8.3,Pin,3.0,Kính khoáng Mineral,Trung Quốc,EYKI,12,4.1,Sp rất tốt rẻ mà lại đẹp rất đáng để mua
