Tên sản phẩm,Mã sản phẩm,Mã giảm giá,Mức giảm tối thiểu,Mức giảm tối đa,Phương thức thanh toán nhận khuyến mãi,Price,Old Price,Thời gian sử dụng pin (tháng),Đối tượng sử dụng:,Đường kính mặt (mm),Độ dày mặt (mm),Nguồn năng lượng:,Mức kháng nước (ATM),Chất liệu mặt kính:,Thương hiệu của:,Bình luận
SMILE KID,SL06401,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,349000,24.0,Trẻ em,47.0,17.0,Pin,5.0,Nhựa,Việt Nam,Hài lòng
Q&Q,C33A002PY,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,690000,24.0,Nam,40.0,8.2,Pin,3.0,Kính khoáng Mineral,Nhật Bản,N/A
ELIO,ES015C2,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1190000,12.0,Nữ,29.5,7.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,Nói chung sử dụng tốt và bền
KORLEX,KS03901,VNPAYTGDD4,50000,100000,VNPAY-QR,1350000,2700000,48.0,Nữ,30.0,8.0,Pin,5.0,Kính Sapphire,Việt Nam,Ít đeo nên cũng ko biết tốt ko
CASIO,LW2041ADF,VNPAYTGDD4,50000,100000,VNPAY-QR,702000,1081000,36.0,Nữ,35.0,9.4,Pin,5.0,Nhựa,Nhật Bản,"Xài êm làm ak, đẹp lắm"
CASIO,AEQ120W9AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1020000,1727000,120.0,Nam,52.0,17.0,Pin,10.0,Nhựa Resin,Nhật Bản,Mẫu mã đẹp gia cả phải chăng
ELIO Xmas,EL09002,VNPAYTGDD4,50000,100000,VNPAY-QR,390000,1290000,24.0,Nữ,20.5,7.9,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ đẹp. Ok. Mấy bạn nữ tay nhỏ mua đeo hợp nha.
SKMEI,SK1749,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,0,18.0,Trẻ em,36.0,20.0,Pin,N/A,Nhựa Resin,Trung Quốc,Đồng hồ trẻ em nên cài giờ đứng im luôn không chạy được.
SMILE KID,SL07001,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,18.0,Trẻ em,33.5,9.0,Pin,3.0,Nhựa Resin,Việt Nam,Dùng tốt . Nhìn đeo vào tay rất sang. Bé rất thích
ELIO,ES11701,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Sao đồng hồ mới mua mây ngay mak lại hết bin
ELIO,EL10101,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,990000,24.0,Nữ,30.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Đồng hồ đẹp, tương đối tốt"
ELIO,EC00402,VNPAYTGDD4,50000,100000,VNPAY-QR,320000,990000,24.0,Nữ,28.0,7.6,Pin,3.0,Kính khoáng Mineral,Việt Nam,Ung cái bụng mát cái dạ.
ELIO,EL10001,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,24.0,Nữ,33.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Hàng đẹp. Đúng mẫu. Hàng mới 100 tuy nhiên là kho nên thường xuyên kiểm tra thời gian máy nằm kho vì mình nhận 1 lần máy hết pin. A shipper phải nhiệt tình đổi hàng giúp mình. Chỉ vậy thôi. Còn tất cả từ giao hàng. Đặt hàng. Đều tốt
SMILE KID,SL03101,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,18.0,Trẻ em,30.0,10.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,"Dây đổi màu, đeo hơn 1 tuần bắt đầu vàng vàng"
CASIO,MTP1375D7AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1795000,2394000,24.0,Nam,42.0,N/A,Pin,5.0,Kính khoáng Mineral,Nhật Bản,N/A
ELIO Elegant Lady,ES16601,VNPAYTGDD4,50000,100000,VNPAY-QR,890000,1390000,24.0,Nữ,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,N/A
ELIO,EL09202,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,24.0,Nữ,26.0,7.5,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ chống nước đẹp lắm nhó
ELIO Nắng Xuân,EL04101,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,890000,36.0,Nữ,28.0,9.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Đồng hồ đẹp nhìn dễ thương. Mình săn sale ngày hôm trước và hôm sau mà bị tăng lên gần 100k nhưng như vậy vẩn ổn cho 1 sản phẩm đẹp. Chất lượng thì phải đợi thời gian sử dụng
ELIO,EL06202,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,990000,36.0,Nữ,29.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,"Giao hàng nhanh, kiểu rất đẹp, giá cả hợp lý. Nhân viên giao hàng vui vẻ"
SMILE KID,SL02101,VNPAYTGDD4,50000,100000,VNPAY-QR,120000,150000,12.0,Trẻ em,34.0,11.5,Pin,N/A,Nhựa Resin,Việt Nam,Mới sử dụng cũng chưa biết nhưng m cũng thấy đẹp ok
TITAN,2606SL02,VNPAYTGDD4,50000,100000,VNPAY-QR,1050000,2100000,18.0,Nữ,28.0,7.0,Pin,3.0,Kính khoáng Mineral,Ấn Độ,Cho mình hỏi muốn thay dây đồng hồ 28mm nữ bằng Kim loại có không a và giá bao nhiêu a
ELIO Nắng Xuân,ES06102,VNPAYTGDD4,50000,100000,VNPAY-QR,690000,1290000,36.0,Nữ,30.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Rất tốt
CASIO,MTP1375D1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1795000,2394000,24.0,Nam,42.0,N/A,Pin,5.0,Kính khoáng Mineral,Nhật Bản,N/A
CASIO,LTP1169D7ARDF,VNPAYTGDD4,50000,100000,VNPAY-QR,747000,1150000,24.0,Nữ,21.0,11.0,Pin,3.0,Kính khoáng Mineral,Nhật Bản,mới mua tay ai trắng đeo đẹp hơn
CASIO,AE1000W2AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,852000,1136000,120.0,Nam,43.0,13.7,Pin,10.0,Nhựa,Nhật Bản,Hài lòng
Q&Q,F08A001PY,VNPAYTGDD4,50000,100000,VNPAY-QR,490000,890000,24.0,Nữ,22.0,7.3,Pin,3.0,Kính khoáng Mineral,Nhật Bản,N/A
CASIO,MTP1374L1AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1702000,2270000,36.0,Nam,43.5,10.4,Pin,5.0,Kính khoáng Mineral,Nhật Bản,Sản phẩm nhìn đẹp.Chất lượng thì dùng đã xem sau
SMILE KID Yally,SL02201,VNPAYTGDD4,50000,100000,VNPAY-QR,190000,290000,18.0,Trẻ em,28.0,8.0,Pin,3.0,Kính khoáng Mineral,Việt Nam,Xài rất tốt mình rất hài lòng về sp
SMILE KID,SL09501,VNPAYTGDD4,50000,100000,VNPAY-QR,290000,320000,24.0,Trẻ em,31.0,8.0,Pin,3.0,Kính Acrylic (thủy tinh hữu cơ),Việt Nam,Rất hài lòng
CASIO,MTP1384D7AVDF,VNPAYTGDD4,50000,100000,VNPAY-QR,1870000,2494000,24.0,Nam,41.0,10.0,Pin,10.0,Kính khoáng Mineral,Nhật Bản,"Hôm nay mua xong chiếc đồng hồ này, về nhà phát hiện khi ghé tai nghe vào đồng hồ nghe tiếng kêu tick tắc rất to. Lo ghê không biết có phải hàng thật không. Đã mấy lần mua casio ở Hải triều, lần nào mua xong cũng có tin nhắn bảo hành của ANHKHUE đại lý chính hãng casio tại Việt Nam. Bây giờ chỉ đợi tin nhắn của ANHKHUE, ko biết có không nữa. Xin hỏi mọi người đã mua Casio của thegioididong có nhận đc tin nhắn bảo hành của ANHKHUE đại lý chính hãng casio tại Việt nam không Mà không biết ở đây sao bán rẻ so với Hải Triều thế, mua thử 01 lần mà thấy không an tâm."
